model,top1_accuracy,top5_accuracy
tv_resnet50,76.134,92.868
mixnet_s,75.992,92.798
vit_small_patch32_224,75.986,93.27
vit_tiny_r_s16_p8_384,75.954,93.264
hardcorenas_a,75.92,92.52
densenet169,75.898,93.03
mobilenetv3_large_100,75.766,92.544
tf_mixnet_s,75.65,92.628
mobilenetv3_rw,75.632,92.708
densenet121,75.584,92.652
tf_mobilenetv3_large_100,75.518,92.604
resnest14d,75.504,92.52
efficientnet_lite0,75.476,92.512
vit_tiny_patch16_224,75.462,92.844
xcit_nano_12_p16_384_dist,75.456,92.69
semnasnet_100,75.45,92.6
resnet26,75.3,92.578
regnety_006,75.25,92.534
repvgg_b0,75.16,92.418
fbnetc_100,75.13,92.386
hrnet_w18_small_v2,75.118,92.416
resnet34,75.114,92.284
mobilenetv2_110d,75.038,92.184
regnetx_008,75.034,92.34
efficientnet_es_pruned,74.996,92.44
tinynet_b,74.976,92.184
tf_efficientnet_lite0,74.832,92.174
legacy_seresnet34,74.808,92.126
tv_densenet121,74.744,92.152
mnasnet_100,74.658,92.112
mobilevit_xs,74.644,92.356
dla34,74.62,92.072
gluon_resnet34_v1b,74.588,91.988
pit_ti_distilled_224,74.532,92.096
deit_tiny_distilled_patch16_224,74.512,91.886
vgg19_bn,74.214,91.848
spnasnet_100,74.084,91.82
regnety_004,74.024,91.754
ghostnet_100,73.974,91.46
crossvit_9_240,73.96,91.968
xcit_nano_12_p8_224,73.91,92.168
regnetx_006,73.86,91.672
vit_base_patch32_224_sam,73.694,91.01
tf_mobilenetv3_large_075,73.436,91.344
vgg16_bn,73.35,91.504
crossvit_tiny_240,73.332,91.914
tv_resnet34,73.306,91.424
swsl_resnet18,73.276,91.736
convit_tiny,73.114,91.714
skresnet18,73.036,91.168
semnasnet_075,72.972,91.136
mobilenetv2_100,72.97,91.02
pit_ti_224,72.912,91.406
ssl_resnet18,72.608,91.424
regnetx_004,72.392,90.832
vgg19,72.366,90.87
hrnet_w18_small,72.338,90.68
xcit_nano_12_p16_224_dist,72.302,90.858
resnet18d,72.25,90.688
tf_mobilenetv3_large_minimal_100,72.25,90.63
deit_tiny_patch16_224,72.172,91.114
lcnet_100,72.104,90.376
mixer_l16_224,72.054,87.662
vit_tiny_r_s16_p8_224,71.792,90.822
legacy_seresnet18,71.742,90.332
vgg13_bn,71.594,90.376
vgg16,71.59,90.382
tinynet_c,71.228,89.75
gluon_resnet18_v1b,70.834,89.762
vgg11_bn,70.36,89.802
regnety_002,70.254,89.532
xcit_nano_12_p16_224,69.954,89.754
vgg13,69.926,89.246
resnet18,69.744,89.082
vgg11,69.028,88.626
mobilevit_xxs,68.92,88.944
lcnet_075,68.816,88.37
regnetx_002,68.756,88.556
tf_mobilenetv3_small_100,67.924,87.664
dla60x_c,67.892,88.426
mobilenetv3_small_100,67.656,87.634
tinynet_d,66.958,87.064
mnasnet_small,66.206,86.508
dla46x_c,65.97,86.98
mobilenetv2_050,65.942,86.082
tf_mobilenetv3_small_075,65.714,86.134
mobilenetv3_small_075,65.242,85.438
dla46_c,64.866,86.294
lcnet_050,63.1,84.382
tf_mobilenetv3_small_minimal_100,62.908,84.234
tinynet_e,59.856,81.764
mobilenetv3_small_050,57.89,80.194
alexnet,56.522,79.066
vgg11,69.02,88.628
vgg13,69.928,89.246
vgg16,71.592,90.382
vgg19,72.376,90.876
vgg11_bn,70.37,89.81
vgg13_bn,71.586,90.374
vgg16_bn,73.36,91.516
vgg19_bn,74.218,91.842
resnet18,69.758,89.078
resnet34,73.314,91.42
resnet50,76.13,92.862
resnet101,77.374,93.546
resnet152,78.312,94.046
squeezenet_1_0,58.092,80.42
squeezenet_1_1,58.178,80.624
densenet121,74.434,91.972
densenet169,75.6,92.806
densenet201,76.896,93.37
densenet161,77.138,93.56
inception_v3,77.294,93.45
goolenet,69.778,89.53
shufflenet_v2_x0_5,69.362,88.316
shufflenet_v2_x1_0,60.552,81.746
mobilenet_v2,71.878,90.286
mobilenet_v3_large,74.042,91.34
mobilenet_v3_small,67.668,87.402
resnext50_32x4d,77.618,93.698
resnext101_32x8d,79.312,94.526
wide_resnet50_2,78.468,94.086
wide_resnet101_2,78.848,94.284
mnasnet0_5,73.456,91.51
mnasnet1_0,67.734,87.49
efficientnet_b0,77.692,93.532
efficientnet_b1,78.642,94.186
efficientnet_b2,80.608,95.31
efficientnet_b3,82.008,96.054
efficientnet_b4,83.384,96.594
efficientnet_b5,83.444,96.628
efficientnet_b6,84.008,96.916
efficientnet_b7,84.122,96.908
regnet_x_400mf,72.834,90.95
regnet_x_800mf,75.212,92.348
regnet_x_1_6gf,77.04,93.44
regnet_x_3_2gf,78.364,93.992
regnet_x_8gf,79.344,94.686
regnet_x_16gf,80.058,94.944
regnet_x_32gf,80.622,95.248
regnet_y_400mf,74.046,91.716
regnet_y_800mf,76.42,93.136
regnet_y_1_6gf,77.95,93.966
regnet_y_3_2gf,78.948,94.576
regnet_y_8gf,80.032,95.048
regnet_y_16gf,80.424,95.24
regnet_y_32gf,80.878,95.34
vit_b_16,81.072,95.318
vit_b_32,75.912,92.466
vit_l_16,79.662,94.638
vit_l_32,76.972,93.07
convnext_tiny,82.52,96.146
convnext_small,83.616,96.65
convnext_base,84.062,96.87
convnext_large,84.414,96.976
